Albert Lee	Lee	A
Amita Sehgal	Sehgal	A
Ardem Patapoutian	Patapoutian	A
Axel T. Brunger	Brunger	AT
Bernardo L. Sabatini	Sabatini	BL
Beth Stevens	Stevens	B
Cagla Eroglu	Eroglu	C
Carlos D. Brody	Brody	CD
Catherine Dulac	Dulac	C
Charles S. Zuker	Zuker	CS
Chenghua Gu	Gu	C
Chris Q. Doe	Doe	CQ
Christopher A. Walsh	Walsh	CA
Constance L. Cepko	Cepko	CL
Daniel Kronauer	Kronauer	D
David D. Ginty	Ginty	DD
David J. Anderson	Anderson	DJ
Diana Bautista	Bautista	D
Dmitriy Aronov	Aronov	D
Doris Y. Tsao	Tsao	DY
Edwin R. Chapman	Chapman	ER
Elizabeth C. Engle	Engle	EC
Eric Gouaux	Gouaux	E
Erich D. Jarvis	Jarvis	ED
Erik M. Jorgensen	Jorgensen	EM
Gaby Maimon	Maimon	G
Gwyneth Card	Card	G
H. Robert Horvitz	Horvitz	HR
Huda Y. Zoghbi	Zoghbi	HY
Ian Maze	Maze	I
Ilana B. Witten	Witten	IB
Jeffrey M. Friedman	Friedman	JM
Jeremy Nathans	Nathans	J
Joseph R. Ecker	Ecker	JR
Kafui Dzirasa	Dzirasa	K
Kang Shen	Shen	K
Karl Deisseroth	Deisseroth	K
Kay Tye	Tye	K
Leslie B. Vosshall	Vosshall	LB
Li Ye	Ye	L
Liqun Luo	Luo	L
Lisa Giocomo	Giocomo	L
Loren L. Looger	Looger	LL
Loren M. Frank	Frank	LM
Mark A. Krasnow	Krasnow	MA
Mark J. Schnitzer	Schnitzer	MJ
Massimo Scanziani	Scanziani	M
Mehrdad Jazayeri	Jazayeri	M
Michael Brainard	Brainard	M
Michael N. Shadlen	Shadlen	MN
Michael Rosbash	Rosbash	M
Michael Yartsev	Yartsev	M
Michelle Monje	Monje	M
Mikhail Shapiro	Shapiro	M
Oliver Hobert	Hobert	O
Pietro De Camilli	De Camilli	P
Rachel I. Wilson	Wilson	RI
Richard D. Palmiter	Palmiter	RD
Robert B. Darnell	Darnell	RB
S. Lawrence Zipursky	Zipursky	SL
Scott M. Sternson	Sternson	SM
Stephen D. Liberles	Liberles	SD
Steve Flavell	Flavell	S
Steven McCarroll	McCarroll	S
Susan L. Ackerman	Ackerman	SL
Susumu Tonegawa	Tonegawa	S
Thomas C. Sudhof	Sudhof	TC
Tirin Moore	Moore	T
Tzumin Lee	Lee	T
Vanessa Ruta	Ruta	V
Viviana Gradinaru	Gradinaru	V
Xiaowei Zhuang	Zhuang	X
Xinzhong Dong	Dong	X
Zachary A. Knight	Knight	ZA
