Name,Group,Institution,Field,Awards,CNS_total,CNS_avg_per_yr,CNS_years_covered,CNS_gap_years,NeuronNatNeuro_total,eLife_total,nonCNS_total,Lab_start_year,First_senior_paper,Career_stage,Count_source,Authorship_measure,Career_reference_year,Lab_age_source,Count_fetched_at,Count_method_version,Researcher_ID,Publication_model,Identity_status,Current_institution,Institution_status,HHMI_status,HHMI_source_status,Topics,Methods,Model_organisms,Model_organism_status,Paper_species_mentions,Contribution_titles,Contribution_keywords,Contribution_status,Contribution_review_status,Contribution_review_reason,Active_years_in_window,CNS_per_active_year,Unresolved_papers,Source_URLs,Review_notes,Faculty_appointment_year,Faculty_appointment_status,CNS_2016,CNS_2017,CNS_2018,CNS_2019,CNS_2020,CNS_2021,CNS_2022,CNS_2023,CNS_2024,CNS_2025
Karl Deisseroth,HHMI,Stanford University,Neuroscience (HHMI),,23,2.3,9,2024,6,0,17,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:40:54+00:00,3,pi_b646f9ff376958788977f9fe70c49523,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Computation and cognition; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Calcium imaging; Electrophysiology; Imaging and microscopy; MRI and neuroimaging; Optogenetics; Sequencing and transcriptomics,,unknown,C. elegans; Human; Mouse; Rat; Zebrafish,Millisecond optogenetic control of mammalian neural activity; Parvalbumin interneuron control of cortical gamma rhythms; CLARITY intact-tissue molecular and structural imaging,Channelrhodopsin-2; CLARITY; gamma oscillations; hydrogel tissue clearing; intact brain imaging; macromolecule labeling; mammalian neurons; millisecond spiking; neocortical circuits; optical neural control; optogenetic modulation; parvalbumin interneurons; signal transmission; synaptic transmission; three-dimensional anatomy,source-backed examples,complete,"Selected three distinct, full-name matched primary-paper examples spanning optogenetic control, circuit discovery, and tissue-clearing methods.",,,0,https://pubmed.ncbi.nlm.nih.gov/16116447/; https://pubmed.ncbi.nlm.nih.gov/19396159/; https://pubmed.ncbi.nlm.nih.gov/23575631/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,6,2,3,4,2,1,1,3,0,1
Eric Gouaux,HHMI,Oregon Health & Science University,Neuroscience (HHMI),,18,1.8,9,2020,0,6,25,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:41:21+00:00,3,pi_84f869e3dd655a97be21e29c6f58b3b5,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Learning and memory; Motor systems; Neurodegeneration and aging; Sensory systems; Sleep and circadian rhythms,Connectomics; Electrophysiology; Imaging and microscopy,,unknown,C. elegans; Human; Mouse; Rat; Zebrafish,LeuT structure revealing neurotransmitter transporter architecture; ASIC1 structure and proton-gating mechanism; AMPA receptor architecture and gating principles,acid-sensing ion channel; AMPA receptor; ASIC1; channel gating; GluA2; ion channel structure; ionotropic glutamate receptors; LeuT; neurotransmitter transporters; occluded site; pain sensing; proton activation; sodium chloride cotransport; substrate binding; symmetry mismatch,source-backed examples,complete,Selected full-name matched structural biology papers on neurotransmitter transporters and ion channels.,,,0,https://pubmed.ncbi.nlm.nih.gov/16041361/; https://pubmed.ncbi.nlm.nih.gov/17882215/; https://pubmed.ncbi.nlm.nih.gov/19946266/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,3,2,3,2,0,4,1,1,1,1
Liqun Luo,HHMI,Stanford University,Neuroscience (HHMI),,18,1.8,8,2016;2022,6,5,27,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:41:35+00:00,3,pi_a1cccefbe3a152c5b7209b9276db8cf0,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Computation and cognition; Development; Glia and neuroimmunology; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Computational modeling; Electrophysiology; Imaging and microscopy; Optogenetics; Sequencing and transcriptomics,Fruit fly; Mouse,source-backed examples,Drosophila; Mouse,TRAP2 activity-dependent neuronal access; MARCM genetic mosaic analysis; Teneurin-mediated synaptic partner matching,activity-dependent labeling; gene function; genetic access; genetic mosaics; MARCM; memory retrieval; mosaic analysis; neuronal ensembles; neuronal morphogenesis; olfactory circuits; single-neuron labeling; synaptic partner matching; Ten-a; Ten-m; teneurin; TRAP2; wiring specificity,source-backed examples,not recorded,,,,0,https://luolab.stanford.edu/people/lab-alumni; https://luolab.stanford.edu/research; https://luolab.stanford.edu/research/tool-development; https://pmc.ncbi.nlm.nih.gov/articles/PMC3345284/; https://pmc.ncbi.nlm.nih.gov/articles/PMC6387639/; https://pubmed.ncbi.nlm.nih.gov/10197526/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment.",,unknown,0,3,2,1,4,3,0,1,1,3
Xiaowei Zhuang,HHMI,Harvard University,Neuroscience (HHMI),,16,1.6,8,2017;2024,0,4,22,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T04:36:47+00:00,3,pi_14c78c6067b05979974050055f8ebd78,unified-papers,source-backed,Harvard University,source-backed current profile,HHMI Investigator (official profile lists 2005-present),source-backed,Cellular and molecular neuroscience; Computation and cognition; Development; Glia and neuroimmunology; Learning and memory; Motor systems; Neural circuits and behavior; Neurodegeneration and aging; Sensory systems,Computational modeling; Imaging and microscopy; Sequencing and transcriptomics,,unknown,C. elegans; Drosophila; Human; Mouse; Rat,STORM localizes photoswitchable fluorophores for sub-diffraction fluorescence imaging; MERFISH enables spatially resolved multiplexed RNA profiling in single cells; STORM revealed a periodic actin-spectrin cytoskeleton in axons,actin rings; axon cytoskeleton; error-robust encoding; fluorescence microscopy; MERFISH; nanometer localization; photoswitchable fluorophores; single-cell profiling; single-molecule RNA imaging; sodium channels; spatial transcriptomics; spectrin periodicity; STORM imaging; STORM microscopy; sub-diffraction imaging,source-backed examples,complete,"Selected distinct full-name Xiaowei Zhuang contributions spanning super-resolution microscopy, spatial transcriptomics, and neuronal cytoskeletal organization.",,,1,https://pubmed.ncbi.nlm.nih.gov/16896339/; https://pubmed.ncbi.nlm.nih.gov/23239625/; https://pubmed.ncbi.nlm.nih.gov/25858977/; https://www.hhmi.org/scientists/xiaowei-zhuang; https://zhuang.harvard.edu/CV_XZ.pdf#page=1; https://zhuang.harvard.edu/pi.html,Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | 1 candidate papers remain unresolved and are not included in totals. | Excluded 3 different-given-name candidates; review aliases if any exclusion is unexpected.,2001,source-backed,3,0,3,2,1,1,3,1,0,2
Tony Wyss-Coray,non-HHMI,Stanford University,brain aging/neurodegeneration,,16,1.6,9,2018,4,0,26,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:43:39+00:00,3,pi_879e8377c6a15884a61e3f73bc3a3353,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Glia and neuroimmunology; Learning and memory; Motor systems; Neural circuits and behavior; Neurodegeneration and aging; Sleep and circadian rhythms,Computational modeling; Imaging and microscopy; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Human; Mouse,Plasma signaling-protein classification of Alzheimer's disease; Clonally expanded CD8 T cells in Alzheimer's cerebrospinal fluid; Organ-specific aging signatures from the plasma proteome,18 plasma signaling proteins; accelerated brain aging; Alzheimer's progression; blinded sample classification; CD8 TEMRA cells; cerebrospinal fluid; Epstein-Barr virus antigens; mild cognitive impairment progression; organ age models; plasma proteomics; single-cell TCR sequencing; systemic immune dysregulation,source-backed examples,complete,"Selected distinct primary, source-backed contribution anchors from the assigned evidence with full-name authorship and collaborative attribution.",,,0,https://pubmed.ncbi.nlm.nih.gov/17934472/; https://pubmed.ncbi.nlm.nih.gov/31915375/; https://pubmed.ncbi.nlm.nih.gov/38057571/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,1,1,0,1,3,3,3,2,1,1
David D. Ginty,HHMI,Harvard Medical School,Neuroscience (HHMI),,14,1.4,7,2017;2018;2025,8,1,15,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:41:54+00:00,3,pi_d5b640306c635bfb84233740fa2c99e3,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Development; Glia and neuroimmunology; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Connectomics; Electrophysiology; Imaging and microscopy; Optogenetics; Sequencing and transcriptomics,,unknown,Mouse,Cutaneous LTMR organization of hairy-skin touch; Cellular and synaptic architecture of the LTMR-recipient dorsal horn; Developmental emergence of somatosensory neuron transcriptional identity,dorsal horn columns; hair follicle end organs; low-threshold mechanoreceptors; LTMR-recipient zone; mouse genetic tools; mouse hairy skin; single-cell transcriptomic atlas; somatosensory neurogenesis; spinal interneuron diversity; subtype transcription factors; target-derived NGF; touch pathways,source-backed examples,complete,"Selected full-name, field-consistent primary papers on somatosensory neuron organization and touch-circuit architecture.",,,0,https://pubmed.ncbi.nlm.nih.gov/22196735/; https://pubmed.ncbi.nlm.nih.gov/28041852/; https://pubmed.ncbi.nlm.nih.gov/31915380/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,2,0,0,1,3,2,2,1,3,0
Francisco Quintana,non-HHMI,Harvard Med (Brigham),neuroimmunology,,14,1.4,8,2016;2017,5,0,60,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:43:47+00:00,3,pi_15294f40ef065756b4dbd583ff69cc93,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Computation and cognition; Glia and neuroimmunology; Learning and memory; Neural circuits and behavior; Neurodegeneration and aging,Computational modeling; Connectomics; Imaging and microscopy; Sequencing and transcriptomics,,unknown,Human; Mouse; Zebrafish,"Aryl hydrocarbon receptor control of Treg and TH17 differentiation; Astrocyte AHR pathway linking interferons, microbial tryptophan metabolites and CNS inflammation; Microglial control of astrocyte pathogenic activity through microbial-metabolite signaling",aryl hydrocarbon receptor; astrocyte AHR signaling; astrocyte pathogenic activity; dietary tryptophan metabolites; experimental autoimmune encephalomyelitis; microbial tryptophan metabolites; microglial TGFα; multiple sclerosis lesions; TH17 cells; Treg differentiation; type I interferons; VEGF-B FLT-1 signaling,source-backed examples,complete,"Selected distinct primary, source-backed contribution anchors from the assigned evidence with full-name authorship and collaborative attribution.",,,0,https://pubmed.ncbi.nlm.nih.gov/18362915/; https://pubmed.ncbi.nlm.nih.gov/27158906/; https://pubmed.ncbi.nlm.nih.gov/29769726/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,0,1,2,1,2,1,3,1,3
Ardem Patapoutian,HHMI,Scripps Research,Neuroscience (HHMI),,13,1.3,7,2017;2019;2024,1,2,10,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:42:09+00:00,3,pi_72dc3e89b2ce5ac887a217b449c0e054,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Motor systems; Neural circuits and behavior; Sensory systems,Connectomics; Imaging and microscopy; Optogenetics,,unknown,Human; Mouse,Piezo proteins as mechanically activated cation channels; Piezo proteins form an evolutionarily conserved ion-channel family; TRPM8 cold and menthol sensory channel,cold sensation; dorsal root ganglia; ion channel family; mechanically activated currents; mechanotransduction; menthol; Piezo pore; Piezo1; Piezo2; purified Piezo1; temperature-sensing neurons; TRPM8,source-backed examples,complete,Selected full-name sensory-transduction primary papers and combined closely related Piezo discovery/follow-up evidence.,,,1,https://pubmed.ncbi.nlm.nih.gov/11893340/; https://pubmed.ncbi.nlm.nih.gov/20813920/; https://pubmed.ncbi.nlm.nih.gov/22343900/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | 1 candidate papers remain unresolved and are not included in totals.",,unknown,2,0,3,0,1,1,1,3,0,2
Michelle Monje,HHMI,Stanford University,Neuroscience (HHMI),,13,1.3,7,2016;2020;2021,5,1,37,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:42:25+00:00,3,pi_4a7eaf7ff93f5f739c8a1ae30dd367c4,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Computation and cognition; Development; Glia and neuroimmunology; Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,Electrophysiology; Optogenetics; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Mouse; Rat,Neuronal activity promotes adaptive myelination; Neuronal-activity-regulated neuroligin-3 dependency in glioma; GD2-CAR T cells for H3K27M-mutated diffuse midline gliomas,adaptive myelination; diffuse midline glioma; GD2-CAR T cells; H3K27M mutation; high-grade glioma; motor function; neuroligin-3; neuronal activity; oligodendrogenesis; phase I trial; PI3K-mTOR; premotor cortex,source-backed examples,complete,"Selected full-name neurodevelopment, neuro-oncology and early clinical-translation primary papers.",,,0,https://pubmed.ncbi.nlm.nih.gov/24727982/; https://pubmed.ncbi.nlm.nih.gov/25913192/; https://pubmed.ncbi.nlm.nih.gov/28959975/; https://pubmed.ncbi.nlm.nih.gov/35130560/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model.",,unknown,0,2,1,1,0,0,2,3,1,3
David J. Anderson,HHMI,California Institute of Technology,Neuroscience (HHMI),,12,1.2,8,2016;2023,5,2,10,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T04:36:37+00:00,3,pi_271074fa981f58a8a7676b959ccd45ff,unified-papers,source-backed,California Institute of Technology,source-backed current profile,HHMI Investigator Program (official profile lists 1989-present),source-backed,Cellular and molecular neuroscience; Learning and memory; Neural circuits and behavior,Calcium imaging; Imaging and microscopy; Optogenetics; Sequencing and transcriptomics,,unknown,Drosophila; Mouse,OLIG1/OLIG2 coupling of neuronal and glial subtype specification; Drosophila circuit node integrating arousal and aggression signals; Tac2 control of a distributed social-isolation brain state,aSP2 neurons; distributed brain state; Drosophila aggression; motoneuron specification; mouse behavior; neurokinin B; neuromodulatory input; octopamine; OLIG1; OLIG2; oligodendrocyte differentiation; social behavior; social isolation stress; spinal cord progenitors; Tac2,source-backed examples,complete,"Closed prior gap using the source-backed Caltech/ORCID identity for David J. Anderson, retaining the valid OLIG1/2 paper and adding verified Caltech-lab primary emotional-behavior circuit papers rather than namesake records.",,,5,https://davidandersonlab.caltech.edu/documents/27178/DJA_CV_02082362.pdf#page=1; https://davidandersonlab.caltech.edu/people/professor-david-j-anderson; https://feeds.library.caltech.edu/people/Anderson-D-J/; https://pub.orcid.org/v3.0/0000-0001-6175-3872/personal-details; https://pubmed.ncbi.nlm.nih.gov/11955447/; https://pubmed.ncbi.nlm.nih.gov/28858617/; https://pubmed.ncbi.nlm.nih.gov/29775595/; https://www.bbe.caltech.edu/people/david-j-anderson; https://www.hhmi.org/scientists/david-j-anderson,Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | 5 candidate papers remain unresolved and are not included in totals. | Excluded 2 different-given-name candidates; review aliases if any exclusion is unexpected.,1986,source-backed,0,1,1,1,3,1,1,0,3,1
