Name,Group,Institution,Field,Awards,CNS_total,CNS_avg_per_yr,CNS_years_covered,CNS_gap_years,NeuronNatNeuro_total,eLife_total,nonCNS_total,Lab_start_year,First_senior_paper,Career_stage,Count_source,Authorship_measure,Career_reference_year,Lab_age_source,Count_fetched_at,Count_method_version,Researcher_ID,Publication_model,Identity_status,Current_institution,Institution_status,HHMI_status,HHMI_source_status,Topics,Methods,Model_organisms,Model_organism_status,Paper_species_mentions,Contribution_titles,Contribution_keywords,Contribution_status,Active_years_in_window,CNS_per_active_year,Unresolved_papers,Source_URLs,Review_notes,Faculty_appointment_year,Faculty_appointment_status,CNS_2016,CNS_2017,CNS_2018,CNS_2019,CNS_2020,CNS_2021,CNS_2022,CNS_2023,CNS_2024,CNS_2025
Michael Yartsev,HHMI,"University of California, Berkeley",Neuroscience (HHMI),"Klingenstein-Simons, McKnight Scholar, NIH DP2, Pew Biomedical, Searle Scholar",1,0.1,1,2016;2018;2019;2020;2021;2022;2023;2024;2025,0,0,1,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:40:51+00:00,3,pi_101c85f46949521da6762265a292e31a,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,,,,unknown,,,,not yet curated,,,0,https://www.mcknight.org/programs/the-mcknight-endowment-fund-for-neuroscience/scholar-awards/awardees/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions.",,unknown,0,1,0,0,0,0,0,0,0,0
Dmitriy Aronov,HHMI,Columbia University,Neuroscience (HHMI),NIH DP2,2,0.2,2,2016;2017;2018;2019;2020;2021;2022;2023,0,1,3,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:40:53+00:00,3,pi_db47778fb46b52c6b0a5ba46e9870fc9,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Learning and memory; Motor systems; Neural circuits and behavior; Sensory systems,,,unknown,,,,not yet curated,,,1,,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions. | 1 candidate papers remain unresolved and are not included in totals.",,unknown,0,0,0,0,0,0,0,0,1,1
Steve Flavell,HHMI,Massachusetts Institute of Technology,Neuroscience (HHMI),McKnight Scholar,0,0.0,0,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,0,0,0,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:41:33+00:00,3,pi_d51a57bfa5745114aac518746fac76c2,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,,,,unknown,,,,not yet curated,,,0,,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions. | Excluded 12 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,0,0,0,0,0,0,0,0,0
Li Ye,HHMI,Scripps Research,Neuroscience (HHMI),NIH DP2,4,0.4,3,2016;2017;2018;2019;2020;2021;2024,1,0,6,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:42:44+00:00,3,pi_b85c7109745c5d3995afb2a3ad6b96e3,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Neural circuits and behavior; Sensory systems,Imaging and microscopy; Optogenetics,,unknown,Mouse,,,not yet curated,,,0,,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions.",,unknown,0,0,0,0,0,0,2,1,0,1
Mehrdad Jazayeri,HHMI,Massachusetts Institute of Technology,Neuroscience (HHMI),McKnight Scholar,1,0.1,1,2016;2017;2018;2019;2020;2021;2022;2023;2025,4,1,18,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:42:48+00:00,3,pi_f8940ed9e17f5a6d943717d56ae855b3,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Cellular and molecular neuroscience; Computation and cognition; Learning and memory; Motor systems; Neural circuits and behavior,Computational modeling; Electrophysiology; Imaging and microscopy; MRI and neuroimaging,,unknown,Human; Nonhuman primates; Rat,,,not yet curated,,,1,https://www.mcknight.org/programs/the-mcknight-endowment-fund-for-neuroscience/scholar-awards/awardees/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions. | 1 candidate papers remain unresolved and are not included in totals.",,unknown,0,0,0,0,0,0,0,0,1,0
Susan L. Ackerman,HHMI,"University of California, San Diego",Neuroscience (HHMI),Klingenstein-Simons,2,0.2,2,2016;2017;2019;2020;2021;2022;2023;2024,0,1,2,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:43:20+00:00,3,pi_3348ea9baebd5d8d8650468c60991eb0,unified-papers,unreviewed,,unreviewed roster label,Listed in legacy HHMI cohort,unreviewed,Development; Motor systems; Neurodegeneration and aging,,,unknown,Mouse,,,not yet curated,,,0,,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions.",,unknown,0,0,1,0,0,0,0,0,0,1
Yuki Oka,non-HHMI,California Institute of Technology,thirst/interoception,"Klingenstein-Simons, McKnight Scholar",7,0.7,6,2016;2017;2021;2025,2,0,7,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:44:13+00:00,3,pi_8a3a10a9202f5589a48db7be33ceaa0b,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Learning and memory; Neural circuits and behavior; Sensory systems,Optogenetics; Sequencing and transcriptomics,,unknown,Mouse,,,not yet curated,,,0,https://www.mcknight.org/programs/the-mcknight-endowment-fund-for-neuroscience/scholar-awards/awardees/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions. | Excluded 2 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,0,1,1,2,0,1,1,1,0
Anna Molofsky,non-HHMI,"University of California, San Francisco",glia/neuro-immune,"NIH DP2, Pew Biomedical",4,0.4,4,2016;2017;2019;2021;2022;2025,1,0,7,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:44:55+00:00,3,pi_f1b6ad0eef2b585abe64c86042cc8208,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Development; Glia and neuroimmunology; Learning and memory; Neural circuits and behavior; Sensory systems,Imaging and microscopy; Organoids and stem-cell models; Sequencing and transcriptomics,,unknown,Mouse; Zebrafish,,,not yet curated,,,0,,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions. | Excluded 7 different-given-name candidates; review aliases if any exclusion is unexpected.",,unknown,0,0,1,0,1,0,0,1,1,0
Weizhe Hong,non-HHMI,"University of California, Los Angeles",social-behavior circuits,"Klingenstein-Simons, McKnight Scholar, Searle Scholar",5,0.5,4,2016;2017;2018;2020;2022;2023,6,0,11,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:44:59+00:00,3,pi_53dbce893bb05f8c876d71c7ba898141,unified-papers,unreviewed,,unreviewed roster label,,unknown,Glia and neuroimmunology; Neural circuits and behavior,Calcium imaging; Electrophysiology; Imaging and microscopy; Optogenetics; Sequencing and transcriptomics,,unknown,Mouse,,,not yet curated,,,0,https://www.mcknight.org/programs/the-mcknight-endowment-fund-for-neuroscience/scholar-awards/awardees/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions.",,unknown,0,0,0,2,0,1,0,0,1,1
Mark Andermann,non-HHMI,Harvard Med (BIDMC),hunger circuits,McKnight Scholar,5,0.5,5,2016;2019;2020;2022;2025,10,0,17,,,established,unified_pubmed(full-name/affiliation-or-ORCID),last-author proxy,2025,,2026-09-05T03:45:02+00:00,3,pi_f05a84660932544fb2484693e3936e73,unified-papers,unreviewed,,unreviewed roster label,,unknown,Cellular and molecular neuroscience; Learning and memory; Neural circuits and behavior; Sensory systems,Calcium imaging; Electrophysiology; Imaging and microscopy; MRI and neuroimaging; Optogenetics,,unknown,Human; Mouse; Rat,,,not yet curated,,,0,https://www.mcknight.org/programs/the-mcknight-endowment-fund-for-neuroscience/scholar-awards/awardees/,"The registry preserves this identity, but independent source evidence is still needed. | This institution is a historical roster label, not a sourced current appointment. | Lab model organisms are not yet source-backed; article-species mentions do not establish a lab model. | Selected scientific contributions have not yet been source-curated; this is not absence of contributions.",,unknown,0,1,1,0,0,1,0,1,1,0
