Name,Group,Institution,Field,Awards,CNS_total,CNS_avg_per_yr,CNS_years_covered,CNS_gap_years,NeuronNatNeuro_total,eLife_total,nonCNS_total,Lab_start_year,First_senior_paper,Career_stage,Count_source,CNS_2016,CNS_2017,CNS_2018,CNS_2019,CNS_2020,CNS_2021,CNS_2022,CNS_2023,CNS_2024,CNS_2025
Karl Deisseroth,HHMI,Stanford University,Neuroscience (HHMI),,23,2.3,9,2024,6,0,22,,,established,person_cns(name),6,2,3,4,2,1,1,3,0,1
Eric Gouaux,HHMI,Oregon Health & Science University,Neuroscience (HHMI),,19,1.9,9,2020,0,6,31,,,established,person_cns(name),4,2,3,2,0,4,1,1,1,1
Xiaowei Zhuang,HHMI,Harvard University,Neuroscience (HHMI),,16,1.6,8,2017;2024,1,4,0,,,established,person_cns(name),3,0,3,2,1,1,2,2,0,2
David D. Ginty,HHMI,Harvard Medical School,Neuroscience (HHMI),,14,1.4,9,2018,8,1,25,,,established,person_cns(name),1,1,0,1,3,2,2,1,2,1
Ardem Patapoutian,HHMI,Scripps Research,Neuroscience (HHMI),,13,1.3,8,2019;2024,2,2,12,,,established,person_cns(name),1,1,3,0,2,1,1,3,0,1
Michelle Monje,HHMI,Stanford University,Neuroscience (HHMI),,13,1.3,6,2016;2018;2020;2021,5,1,53,,,established,person_cns(name),0,2,0,2,0,0,2,3,1,3
David J. Anderson,HHMI,California Institute of Technology,Neuroscience (HHMI),,12,1.2,8,2016;2023,5,2,0,,,established,person_cns(affil),0,1,1,1,1,3,1,0,3,1
Thomas C. Südhof,HHMI,Stanford University,Neuroscience (HHMI),,12,1.2,7,2018;2022;2023,9,5,70,,,established,person_cns(name),1,3,0,2,1,2,0,0,2,1
Liqun Luo,HHMI,Stanford University,Neuroscience (HHMI),,11,1.1,7,2016;2022;2025,6,5,41,,,established,person_cns(affil),0,2,2,1,2,2,0,1,1,0
Joseph R. Ecker,HHMI,Salk Institute for Biological Studies,Neuroscience (HHMI),,10,1.0,7,2019;2022;2024,1,3,55,,,established,person_cns(name),3,1,1,0,1,1,0,2,0,1
Mark J. Schnitzer,HHMI,Stanford University,Neuroscience (HHMI),,9,0.9,8,2019;2023,1,0,32,,,established,person_cns(name),1,1,1,0,1,1,2,0,1,1
Christopher A. Walsh,HHMI,Boston Children's Hospital,Neuroscience (HHMI),,9,0.9,7,2017;2020;2023,6,1,101,,,established,person_cns(name),2,0,1,1,0,1,1,0,1,2
Michael Yartsev,HHMI,"University of California, Berkeley",Neuroscience (HHMI),"Klingenstein-Simons, McKnight Scholar, NIH DP2, Pew Biomedical, Searle Scholar",8,0.8,7,2016;2018;2020,2,1,10,,,established,person_cns(name),0,1,0,1,0,2,1,1,1,1
Charles S. Zuker,HHMI,Columbia University,Neuroscience (HHMI),,8,0.8,7,2016;2017;2023,2,0,3,,,established,person_cns(name),0,0,1,1,1,1,1,0,1,2
Steven McCarroll,HHMI,Harvard Medical School,Neuroscience (HHMI),,8,0.8,5,2017;2019;2021;2022;2023,1,0,11,,,established,person_cns(name),1,0,1,0,4,0,0,0,1,1
Zachary A. Knight,HHMI,"University of California, San Francisco",Neuroscience (HHMI),,8,0.8,5,2018;2020;2021;2024;2025,6,4,19,,,established,person_cns(name),2,1,0,2,0,0,2,1,0,0
Oliver Hobert,HHMI,Columbia University,Neuroscience (HHMI),,8,0.8,6,2017;2022;2023;2024,1,9,81,,,established,person_cns(name),1,0,2,1,1,2,0,0,0,1
Vanessa Ruta,HHMI,The Rockefeller University,Neuroscience (HHMI),,7,0.7,5,2016;2017;2020;2022;2023,1,0,7,,,established,person_cns(name),0,0,2,1,0,2,0,0,1,1
Bernardo L. Sabatini,HHMI,Harvard Medical School,Neuroscience (HHMI),,7,0.7,5,2017;2018;2019;2020;2022,10,5,44,,,established,person_cns(name),1,0,0,0,0,3,0,1,1,1
Catherine Dulac,HHMI,Harvard University,Neuroscience (HHMI),,7,0.7,4,2016;2019;2020;2021;2023;2024,0,1,15,,,established,person_cns(name),0,1,2,0,0,0,1,0,0,3
Jeffrey M. Friedman,HHMI,The Rockefeller University,Neuroscience (HHMI),,7,0.7,6,2018;2019;2023;2025,1,2,19,,,established,person_cns(name),1,1,0,0,1,1,1,0,2,0
Mark A. Krasnow,HHMI,Stanford University,Neuroscience (HHMI),,7,0.7,6,2016;2021;2023;2024,1,1,15,,,established,person_cns(name),0,1,1,1,1,0,1,0,0,2
Gaby Maimon,HHMI,The Rockefeller University,Neuroscience (HHMI),,6,0.6,4,2016;2018;2019;2020;2021;2025,1,0,7,,,established,person_cns(name),0,2,0,0,0,0,2,1,1,0
Scott M. Sternson,HHMI,"University of California, San Diego",Neuroscience (HHMI),,6,0.6,4,2017;2018;2021;2022;2023;2024,1,1,6,,,established,person_cns(name),1,0,0,1,2,0,0,0,0,2
Kay Tye,HHMI,Salk Institute for Biological Studies,Neuroscience (HHMI),,6,0.6,5,2017;2020;2023;2024;2025,4,2,21,,,established,person_cns(name),1,0,1,1,0,1,2,0,0,0
Daniel Kronauer,HHMI,The Rockefeller University,Neuroscience (HHMI),,6,0.6,4,2016;2019;2020;2021;2024;2025,1,2,48,,,established,person_cns(name),0,1,2,0,0,0,1,2,0,0
Rachel I. Wilson,HHMI,Harvard Medical School,Neuroscience (HHMI),,6,0.6,4,2017;2018;2020;2021;2023;2025,6,1,23,,,established,person_cns(affil),1,0,0,1,0,0,2,0,2,0
Massimo Scanziani,HHMI,"University of California, San Francisco",Neuroscience (HHMI),,6,0.6,5,2017;2021;2023;2024;2025,3,2,10,,,established,person_cns(name),1,0,1,1,1,0,2,0,0,0
Stephen D. Liberles,HHMI,Harvard Medical School,Neuroscience (HHMI),,6,0.6,6,2017;2018;2019;2025,2,2,9,,,established,person_cns(name),1,0,0,0,1,1,1,1,1,0
Leslie B. Vosshall,HHMI,The Rockefeller University,Neuroscience (HHMI),,5,0.5,4,2017;2020;2021;2023;2024;2025,1,4,15,,,established,person_cns(name),1,0,2,1,0,0,1,0,0,0
S. Lawrence Zipursky,HHMI,"University of California, Los Angeles",Neuroscience (HHMI),,5,0.5,3,2016;2017;2018;2019;2021;2023;2024,6,2,18,,,established,person_cns(name),0,0,0,0,1,0,2,0,0,2
Susumu Tonegawa,HHMI,Massachusetts Institute of Technology,Neuroscience (HHMI),,5,0.5,3,2018;2019;2021;2022;2023;2024;2025,6,0,17,,,established,person_cns(name),2,2,0,0,1,0,0,0,0,0
Cornelia Bargmann,HHMI,Rockefeller University,Neuroscience (HHMI),,5,0.5,3,2019;2020;2021;2022;2023;2024;2025,2,6,,,,established,person_cns(name),2,2,1,0,0,0,0,0,0,0
Ilana B. Witten,HHMI,Princeton University,Neuroscience (HHMI),,4,0.4,3,2016;2018;2020;2021;2022;2023;2024,7,2,21,,,established,person_cns(name),0,1,0,1,0,0,0,0,0,2
Doris Y. Tsao,HHMI,"University of California, Berkeley",Neuroscience (HHMI),,4,0.4,4,2016;2018;2019;2021;2022;2023,3,2,4,,,established,person_cns(name),0,1,0,0,1,0,0,0,1,1
Erich D. Jarvis,HHMI,The Rockefeller University,Neuroscience (HHMI),,4,0.4,3,2016;2017;2018;2020;2022;2024;2025,0,1,30,,,established,person_cns(name),0,0,0,1,0,2,0,1,0,0
Dmitriy Aronov,HHMI,Columbia University,Neuroscience (HHMI),NIH DP2,3,0.3,3,2016;2017;2018;2019;2020;2022;2023,0,1,9,,,established,person_cns(name),0,0,0,0,0,1,0,0,1,1
Mikhail Shapiro,HHMI,California Institute of Technology,Neuroscience (HHMI),,3,0.3,3,2016;2017;2020;2021;2022;2024;2025,3,2,52,,,established,person_cns(name),0,0,1,1,0,0,0,1,0,0
