Researcher_ID,Name,Contribution,Category,Year,Keywords,Summary,Attribution,Status,Scope,Source,Source_title,Accessed,Supports,PMID,DOI,Note
pi_101c85f46949521da6762265a292e31a,Michael Yartsev,Bat grid cells without continuous theta oscillations,discovery,2011,Egyptian fruit bat; grid cells; entorhinal cortex; theta oscillations; spatial coding,"Recorded medial entorhinal grid cells in Egyptian fruit bats and found grid-like spatial firing without continuous theta-band oscillations, challenging oscillatory-interference explanations requiring theta rhythmicity.",Coauthored with Michael M Yartsev and colleagues; PubMed author evidence lists Michael M Yartsev as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/22051680/,Grid cells without theta oscillations in the entorhinal cortex of bats.,2026-09-05,The paper reports bat entorhinal grid cells without continuous theta oscillations and lists Michael M. Yartsev as a coauthor.,22051680,10.1038/nature10583,
pi_101c85f46949521da6762265a292e31a,Michael Yartsev,Three-dimensional hippocampal place coding in flying bats,discovery,2013,flying bats; hippocampal place cells; three-dimensional space; wireless telemetry; volumetric representation,"Used wireless recordings in freely flying bats to show that hippocampal place cells encode confined three-dimensional volumes with similar resolution across axes, supporting a volumetric spatial representation.",Coauthored with Michael M Yartsev and colleagues; PubMed author evidence lists Michael M Yartsev as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/23599496/,Representation of three-dimensional space in the hippocampus of flying bats.,2026-09-05,The paper reports 3D hippocampal place coding in freely flying bats and lists Michael M. Yartsev as a coauthor.,23599496,10.1126/science.1235338,
pi_101c85f46949521da6762265a292e31a,Michael Yartsev,Inter-brain neural correlations during natural bat social interactions,discovery,2019,social bats; wireless electrophysiology; inter-brain correlation; local field potentials; social interactions,"Simultaneously recorded neural activity from pairs of interacting bats and found correlations across brains over seconds-to-hours timescales, with correlation strength linked to social context and interaction extent.",Coauthored with Wujie Zhang and colleagues; PubMed author evidence lists Michael M Yartsev as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/31230710/,Correlated Neural Activity across the Brains of Socially Interacting Bats.,2026-09-05,The paper reports simultaneous recordings from socially interacting bats and lists Michael M. Yartsev as a coauthor.,31230710,10.1016/j.cell.2019.05.023,
pi_db47778fb46b52c6b0a5ba46e9870fc9,Dmitriy Aronov,Flexible use of cache memories in food-caching birds,discovery,2022,food-caching birds; spatial memory; cache retrieval; probabilistic behavior models; chickadees,Designed an automated chickadee caching arena and behavioral models showing that birds combine precise memories of cache-site contents with non-mnemonic strategies such as opportunistic foraging and spatial biases.,Coauthored with Marissa C Applegate and colleagues; PubMed author evidence lists Dmitriy Aronov as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/35467526/,Flexible use of memory by food-caching birds.,2026-09-05,The paper reports behavioral apparatus and modeling of chickadee cache-memory use and lists Dmitriy Aronov as a coauthor.,35467526,10.7554/elife.70600,
pi_db47778fb46b52c6b0a5ba46e9870fc9,Dmitriy Aronov,Hippocampal barcodes for episodic cache memories,discovery,2024,episodic memory; hippocampal barcodes; food caching; memory retrieval; sparse neural patterns,"Recorded chickadee hippocampal activity during caching and retrieval, revealing sparse barcode-like neural patterns that uniquely marked individual caching events and reactivated during retrieval of the corresponding cache.",Coauthored with Selmaan N Chettih and colleagues; PubMed author evidence lists Dmitriy Aronov as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/38554707/,Barcoding of episodic memories in the hippocampus of a food-caching bird.,2026-09-05,The paper reports event-specific hippocampal barcode patterns in food-caching birds and lists Dmitriy Aronov as a coauthor.,38554707,10.1016/j.cell.2024.02.032,
pi_db47778fb46b52c6b0a5ba46e9870fc9,Dmitriy Aronov,Remote gaze activation of hippocampal place codes,discovery,2025,place cells; gaze coding; head saccades; remote spatial reasoning; chickadee hippocampus,"Showed that chickadee hippocampal place cells can activate when the bird gazes at a location from a distance, linking place coding to active visual behavior and remote spatial functions.",Coauthored with Hannah L Payne and colleagues; PubMed author evidence lists Dmitriy Aronov as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/40500454/,Remote activation of place codes by gaze in a highly visual animal.,2026-09-05,The paper reports gaze-related activation of hippocampal place codes and lists Dmitriy Aronov as a coauthor.,40500454,10.1038/s41586-025-09101-z,
pi_b646f9ff376958788977f9fe70c49523,Karl Deisseroth,Millisecond optogenetic control of mammalian neural activity,tool,2005,Channelrhodopsin-2; optical neural control; millisecond spiking; synaptic transmission; mammalian neurons,"Adapted Channelrhodopsin-2 for temporally precise optical stimulation of mammalian neurons, demonstrating control of single-spike timing and excitatory or inhibitory synaptic transmission as a broadly useful neural perturbation tool.",Coauthored with Edward S Boyden and colleagues; PubMed author evidence lists Karl Deisseroth as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/16116447/,"Millisecond-timescale, genetically targeted optical control of neural activity.",2026-09-05,The paper reports Channelrhodopsin-2-based millisecond control of mammalian neuronal spiking and synaptic transmission and lists Karl Deisseroth as a coauthor.,16116447,10.1038/nn1525,
pi_b646f9ff376958788977f9fe70c49523,Karl Deisseroth,Parvalbumin interneuron control of cortical gamma rhythms,discovery,2009,parvalbumin interneurons; gamma oscillations; neocortical circuits; optogenetic modulation; signal transmission,Used optogenetic modulation in mouse neocortex to show that parvalbumin interneurons can suppress or generate gamma-frequency rhythmicity and that gamma-frequency input modulation can improve signal transmission.,Coauthored with Vikaas S Sohal and colleagues; PubMed author evidence lists Karl Deisseroth as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/19396159/,Parvalbumin neurons and gamma rhythms enhance cortical circuit performance.,2026-09-05,The paper reports bidirectional optogenetic tests of parvalbumin interneuron roles in gamma rhythms and lists Karl Deisseroth as a coauthor.,19396159,10.1038/nature07991,
pi_b646f9ff376958788977f9fe70c49523,Karl Deisseroth,CLARITY intact-tissue molecular and structural imaging,method,2013,CLARITY; hydrogel tissue clearing; intact brain imaging; macromolecule labeling; three-dimensional anatomy,"Introduced CLARITY, transforming intact tissue into a transparent, macromolecule-permeable hydrogel hybrid that enabled three-dimensional imaging and molecular labeling across mouse brain and clinical tissue samples.",Coauthored with Kwanghun Chung and colleagues; PubMed author evidence lists Karl Deisseroth as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/23575631/,Structural and molecular interrogation of intact biological systems.,2026-09-05,The paper describes CLARITY for intact-tissue structural and molecular interrogation and lists Karl Deisseroth as a coauthor.,23575631,10.1038/nature12107,
pi_3aeff650cf995c72a83bc7a1be768ba3,Mikhail Shapiro,Infrared excitation through membrane-capacitance changes,discovery,2012,infrared stimulation; membrane capacitance; cell depolarization; optical stimulation; electrostatic mechanism,"Showed that pulsed infrared light can excite cells by local heating of water that reversibly changes plasma-membrane capacitance, depolarizing cells without genetic or chemical pretreatment.",Coauthored with Mikhail G Shapiro and colleagues; PubMed author evidence lists Mikhail G Shapiro as a coauthor. Credit is collaborative and does not imply sole authorship.,source-backed,career-wide,https://pubmed.ncbi.nlm.nih.gov/22415827/,Infrared light excites cells by changing their electrical capacitance.,2026-09-05,The paper reports the capacitance mechanism for infrared cell excitation and lists Mikhail G. Shapiro as a coauthor.,22415827,10.1038/ncomms1742,
